Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_History_Years,Spending_Level,Payment_Size,Credit-Builder Loan,Home Equity Loan,Personal Loan,Not_Specified,Mortgage Loan,Not Specified,Payday Loan,Debt Consolidation Loan,Auto Loan,Student Loan
23.0,Scientist,19114.12,1824.8433333333328,3,4,3.0,4.0,3,7.0,11.27,4.0,Good,809.98,26.822619623699016,No,82.0548959930204,312.49408867943663,Good,22.0,High,Small,1,1,1,0,0,0,0,0,1,0
23.0,Scientist,19114.12,1824.8433333333328,3,4,3.0,4.0,4,4.0,11.27,4.0,Good,809.98,31.94496005538421,No,82.0548959930204,284.62916249607184,Good,22.0,Low,Large,1,1,1,0,0,0,0,0,1,0
23.0,Scientist,19114.12,1824.8433333333328,3,4,3.0,4.0,3,7.0,11.27,4.0,Good,809.98,28.60935202206993,No,82.0548959930204,331.2098628537912,Good,22.0,Low,Medium,1,1,1,0,0,0,0,0,1,0
23.0,Scientist,19114.12,1824.8433333333328,3,4,3.0,4.0,5,4.0,11.27,4.0,Good,809.98,31.37786186958235,No,82.0548959930204,223.45130972736783,Good,22.0,Low,Small,1,1,1,0,0,0,0,0,1,0
23.0,Scientist,19114.12,1824.8433333333328,3,4,3.0,4.0,6,4.0,11.27,4.0,Good,809.98,24.797346908844982,No,82.0548959930204,341.48923103222177,Good,22.0,High,Medium,1,1,1,0,0,0,0,0,1,0
23.0,Scientist,19114.12,1824.8433333333328,3,4,3.0,4.0,8,4.0,11.27,4.0,Good,809.98,27.26225871052017,No,82.0548959930204,340.4792117872438,Good,22.0,Missing,Missing,1,1,1,0,0,0,0,0,1,0
23.0,Scientist,19114.12,1824.8433333333328,3,4,3.0,4.0,3,8.0,11.27,4.0,Good,809.98,22.53759303178384,No,82.0548959930204,244.5653167062043,Good,22.0,Low,Small,1,1,1,0,0,0,0,0,1,0
23.0,Scientist,19114.12,1824.8433333333328,3,4,3.0,4.0,3,6.0,11.27,4.0,Good,809.98,23.93379480196552,No,82.0548959930204,358.12416760938714,Standard,22.0,High,Medium,1,1,1,0,0,0,0,0,1,0
28.0,Teacher,34847.84,3037.986666666666,2,4,6.0,1.0,3,4.0,5.42,2.0,Good,605.03,24.46403063758457,No,100.306227960533,470.69062692529184,Standard,26.0,Low,Small,1,0,0,0,0,0,0,0,0,0
28.0,Teacher,34847.84,3037.986666666666,2,4,6.0,1.0,7,1.0,5.42,2.0,Good,605.03,38.550848433956325,No,100.306227960533,484.5912142650067,Good,26.0,High,Large,1,0,0,0,0,0,0,0,0,0
28.0,Teacher,34847.84,3037.986666666666,2,4,6.0,1.0,3,3.0,5.42,2.0,Good,605.03,39.18265565546884,No,100.306227960533,465.6762241330048,Good,26.0,Low,Medium,1,0,0,0,0,0,0,0,0,0
28.0,Teacher,34847.84,3037.986666666666,2,4,6.0,1.0,3,1.0,5.42,2.0,Good,605.03,34.97789474709241,No,100.306227960533,444.8670318506144,Good,26.0,Low,Small,1,0,0,0,0,0,0,0,0,0
28.0,Teacher,34847.84,3037.986666666666,2,4,6.0,1.0,3,0.0,5.42,2.0,Good,605.03,33.38101020065065,No,100.306227960533,481.505261949182,Good,26.0,High,Large,1,0,0,0,0,0,0,0,0,0
28.0,Teacher,34847.84,3037.986666666666,2,4,6.0,1.0,3,4.0,5.42,2.0,Good,605.03,31.131701611553307,NM,100.306227960533,464.8806778859809,Good,26.0,High,Medium,1,0,0,0,0,0,0,0,0,0
28.0,Teacher,34847.84,3037.986666666666,2,4,6.0,1.0,3,4.0,5.42,2.0,Good,605.03,32.933856293622235,No,100.306227960533,356.07810855965045,Good,26.0,Low,Small,1,0,0,0,0,0,0,0,0,0
34.0,Engineer,143162.64,12187.22,1,5,8.0,3.0,5,8.0,7.1,3.0,Good,1303.01,28.616734823006844,No,261.4773662962741,1043.3159778669492,Good,18.0,Missing,Missing,0,0,0,0,0,1,0,0,1,0
34.0,Engineer,143162.64,12187.22,1,5,8.0,3.0,13,6.0,7.1,3.0,Good,1303.01,41.70257342393906,No,261.4773662962741,998.8692967863226,Good,18.0,High,Small,0,0,0,0,0,1,0,0,1,0
34.0,Engineer,143162.64,12187.22,1,5,8.0,3.0,8,7.0,7.1,3.0,Good,1303.01,26.51981539154649,No,261.4773662962741,715.741367403555,Good,18.0,High,Small,0,0,0,0,0,1,0,0,1,0
34.0,Engineer,143162.64,12187.22,1,5,8.0,3.0,8,5.0,7.1,3.0,Good,1303.01,39.50164810812735,No,261.4773662962741,426.5134106068658,Good,18.0,Low,Medium,0,0,0,0,0,1,0,0,1,0
34.0,Engineer,143162.64,12187.22,1,5,8.0,3.0,10,5.0,7.1,3.0,Good,1303.01,31.37614957421204,No,261.4773662962741,810.7821526659284,Good,18.0,Low,Large,0,0,0,0,0,1,0,0,1,0
34.0,Engineer,143162.64,12187.22,1,5,8.0,3.0,8,6.0,7.1,3.0,Good,1303.01,39.78399345802119,No,261.4773662962741,963.9215811205684,Good,18.0,High,Medium,0,0,0,0,0,1,0,0,1,0
34.0,Engineer,143162.64,12187.22,1,5,8.0,3.0,8,6.0,7.1,3.0,Good,1303.01,38.068623627698585,No,261.4773662962741,968.5555173846188,Standard,18.0,High,Small,0,0,0,0,0,1,0,0,1,0
34.0,Engineer,143162.64,12187.22,1,5,8.0,3.0,8,6.0,7.1,3.0,Good,1303.01,38.37475294778511,No,261.4773662962741,895.494583180492,Standard,18.0,High,Small,0,0,0,0,0,1,0,0,1,0
55.0,Entrepreneur,30689.89,2612.4908333333333,2,5,4.0,1.0,0,6.0,1.99,4.0,Good,632.46,26.54422872407309,No,85.17616941234847,433.6047729627723,Standard,17.0,Low,Large,0,0,0,0,0,1,0,0,0,0
55.0,Entrepreneur,30689.89,2612.4908333333333,2,5,4.0,1.0,5,3.0,1.99,4.0,Good,632.46,35.279981779008544,No,85.17616941234847,409.9518117711599,Standard,17.0,Low,Small,0,0,0,0,0,1,0,0,0,0
55.0,Entrepreneur,30689.89,2612.4908333333333,2,5,4.0,1.0,3,9.0,1.99,4.0,Good,632.46,32.30116343180253,NM,85.17616941234847,411.42712287098345,Standard,17.0,High,Medium,0,0,0,0,0,1,0,0,0,0
55.0,Entrepreneur,30689.89,2612.4908333333333,2,5,4.0,1.0,5,6.0,1.99,4.0,Good,632.46,41.15431654696947,No,85.17616941234847,359.37491550776383,Standard,17.0,Low,Large,0,0,0,0,0,1,0,0,0,0
55.0,Entrepreneur,30689.89,2612.4908333333333,2,5,4.0,1.0,5,6.0,1.99,4.0,Good,632.46,27.4454217928553,No,85.17616941234847,419.8807835023488,Standard,17.0,High,Small,0,0,0,0,0,1,0,0,0,0
55.0,Entrepreneur,30689.89,2612.4908333333333,2,5,4.0,1.0,5,6.0,1.99,4.0,Good,632.46,26.05639527857161,No,85.17616941234847,443.5499567906391,Standard,17.0,Low,Large,0,0,0,0,0,1,0,0,0,0
55.0,Entrepreneur,30689.89,2612.4908333333333,2,5,4.0,1.0,4,9.0,1.99,4.0,Good,632.46,27.33251492755421,No,85.17616941234847,379.21638114119577,Standard,17.0,High,Small,0,0,0,0,0,1,0,0,0,0
21.0,Developer,35547.71,2853.3091666666664,7,5,5.0,0.0,9,15.0,2.58,4.0,Standard,943.86,27.02036025389693,NM,97.78548508587446,460.8872756166704,Standard,31.0,High,Medium,0,0,0,1,0,0,0,0,0,0
21.0,Developer,35547.71,2853.3091666666664,7,5,5.0,0.0,5,12.0,2.58,4.0,Standard,943.86,23.462303036448013,Yes,97.78548508587446,392.1922656650829,Standard,31.0,Low,Medium,0,0,0,1,0,0,0,0,0,0
21.0,Developer,35547.71,2853.3091666666664,7,5,5.0,0.0,1,15.0,2.58,4.0,Standard,943.86,28.924953778098622,Yes,97.78548508587446,438.5454315807922,Standard,31.0,High,Medium,0,0,0,1,0,0,0,0,0,0
