Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_History_Years,Spending_Level,Payment_Size,Credit-Builder Loan,Home Equity Loan,Personal Loan,Not_Specified,Mortgage Loan,Not Specified,Payday Loan,Debt Consolidation Loan,Auto Loan,Student Loan
21.0,Doctor,44100.87902879589,3527.3759500815136,5,3,2.0,3.0,0,7.0,5.112917639707403,0.0,Good,935.51,39.11437797678932,No,130.1830708095989,383.4942377839267,Good,24.0,High,Large,0,0,1,0,0,0,0,1,1,1
48.0,Manager,96229.82677639995,8842.51783047839,2,1,4.0,1.0,10,0.0,3.1581938128391647,3.0,Good,654.11,35.74456111069044,No,514.1769775136435,346.2941005575851,Good,30.0,Low,Small,0,0,0,0,0,0,0,0,0,0
18.0,Manager,41137.619325461026,3404.1264139374257,5,4,2.0,2.0,16,1.0,3.147048953278721,4.0,Good,79.3,29.717765400265602,No,180.70714378968796,417.07411816028923,Good,23.0,Low,Small,0,0,0,0,0,1,0,0,0,0
47.0,Entrepreneur,17268.13259905425,1432.7843616658593,5,3,1.0,3.0,3,12.0,10.91879400214533,2.0,Good,357.15,25.26836734937307,No,87.40124981745538,264.49587303595933,Good,16.0,Low,Medium,0,0,1,0,0,0,1,0,1,0
19.0,Manager,14712.775524400582,1241.087460558685,5,7,5.0,3.0,2,5.0,3.2160942247760618,3.0,Good,798.22,33.5185756256308,No,75.13875875607818,246.15900767988447,Good,20.0,Low,Small,0,1,0,0,1,1,0,0,0,0
47.0,Engineer,116921.35477255107,10404.211982502095,0,3,12.0,2.0,0,9.0,7.0153041865822185,4.0,Good,321.35,37.67089711951021,No,569.7716773660733,482.71789802848195,Good,23.0,Low,Small,0,0,1,0,1,1,0,1,0,0
25.0,Engineer,13833.040964828026,1256.1310385753786,10,9,31.0,8.0,25,21.0,24.718129068799932,11.0,Standard,3215.51,32.53997541614017,Yes,75.64620678479703,274.1123769742544,Good,4.0,High,Large,1,0,1,0,1,1,0,1,0,0
28.0,Media_Manager,55124.415732245434,5026.2261078533975,8,4,9.0,0.0,2,15.0,5.477374238868197,1.0,Good,1175.73,27.284003377103446,No,340.9876637123037,691.3370225156132,Good,16.0,Low,Medium,0,0,0,1,0,0,0,0,0,0
19.0,Lawyer,141644.93026428184,10555.701920881718,0,5,6.0,0.0,25,6.0,3.542318382692356,2.0,Standard,998.88,39.77084749044911,Yes,475.81899239554485,896.6725458935305,Good,15.0,High,Large,0,0,0,0,0,0,0,0,0,0
27.0,Architect,19607.165236487213,1230.3554821572388,10,6,15.0,6.0,26,19.0,15.740006459942464,12.0,Standard,2262.52,24.129821470858527,Yes,64.78534884573696,283.5891899386346,Good,11.0,Low,Small,1,1,0,0,0,1,0,1,1,0
