Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_History_Years,Spending_Level,Payment_Size,Credit-Builder Loan,Home Equity Loan,Personal Loan,Not_Specified,Mortgage Loan,Not Specified,Payday Loan,Debt Consolidation Loan,Auto Loan,Student Loan
41.0,Musician,115895.79761423223,8179.823995988281,6,3,19.0,1.0,26,13.0,11.320346048870956,2.0,Standard,617.1,32.16039469924874,Yes,187.1138867018484,400.57968402599545,Good,17.0,Missing,Missing,0,0,1,0,0,0,0,0,0,0
48.0,Manager,64379.81308787774,9597.648477657736,1,7,5.0,4.0,13,2.0,2.8522992101055746,4.0,Good,1070.08,31.800362428803748,No,275.1579638983802,486.09180907947143,Good,21.0,Low,Small,1,0,0,0,0,1,0,0,0,0
54.0,Doctor,60459.5345504046,6511.79766215557,5,7,8.0,0.0,15,16.0,3.331182551569659,4.0,Standard,112.29,25.96564510885199,No,205.6085466654191,611.146452261856,Good,32.0,Missing,Small,0,0,0,1,0,0,0,0,0,0
21.0,Manager,17266.885153546627,1126.1209546558757,5,7,8.0,4.0,4,13.0,8.923353284138797,6.0,Good,66.99,34.52528354634844,No,148.72970605098203,316.0508024228025,Good,10.0,High,Large,0,1,0,0,0,0,1,0,1,0
47.0,Doctor,14530.603859719482,1102.48277532575,3,7,11.0,4.0,18,12.0,15.573966970340754,8.0,Standard,1231.3,30.608909000408243,Yes,94.25453110786054,281.9114929799581,Good,11.0,Low,Large,1,1,1,0,0,0,1,1,0,1
30.0,Media_Manager,30694.098372633744,920.650911281421,7,3,20.0,9.0,26,14.0,13.88809550246316,8.0,Bad,4998.07,30.43149809939416,Yes,111.88638773981727,311.19858179101567,Good,10.0,High,Large,1,1,0,0,0,1,0,0,0,0
49.0,Mechanic,32184.56518446446,2377.5380962068734,8,1,2.0,3.0,3,1.0,11.058592707192096,4.0,Good,694.4,38.600656319991494,No,157.32152485008424,324.35342669027744,Good,23.0,Missing,Missing,0,0,0,0,1,1,1,1,0,0
24.0,Scientist,87834.65807750414,6687.147684567649,3,7,2.0,3.0,14,0.0,2.3381297138641908,5.0,Good,1264.7,28.62066544453881,No,248.25674161003082,260.8626877416444,Good,22.0,Low,Large,0,1,0,0,0,0,0,0,0,1
29.0,Architect,120225.08513645956,7844.200013802005,3,2,12.0,2.0,5,3.0,7.422892638025341,2.0,Good,1044.9,36.884583918342464,No,565.1624813448926,159.00202610579544,Good,30.0,Low,Small,0,0,0,0,0,0,0,0,1,0
56.0,Mechanic,17943.57998985438,1177.1333188481128,8,6,15.0,3.0,18,17.0,12.8035009736957,7.0,Standard,1110.37,30.325908442165677,Yes,117.51203617612855,286.4239772396606,Good,5.0,Low,Large,0,1,0,0,0,0,0,1,1,0
22.0,Journalist,12688.250358487197,966.6627512643712,1,1,1.0,1.0,1,1.0,2.849329011831556,4.0,Good,1359.7,24.43457316937647,No,79.5658980038837,273.3453288121951,Good,22.0,Low,Large,0,1,0,0,0,0,0,0,1,0
24.0,Musician,37522.377295251405,2395.0785234706964,4,2,3.0,1.0,14,2.0,9.248184637363277,4.0,Good,238.73,39.20105815579516,No,97.75763213460493,342.1357838771626,Good,23.0,High,Small,0,0,1,0,0,1,0,0,0,0
49.0,Doctor,148100.27620827442,10274.73076781249,0,1,2.0,3.0,1,3.0,6.965754436571527,2.0,Good,228.69,39.45105231899046,No,868.86842348969,581.006165181349,Good,27.0,High,Large,0,0,0,0,0,0,1,1,1,0
23.0,Doctor,32645.915490073567,2732.740018864933,5,2,1.0,0.0,2,0.0,2.0999508643898883,4.0,Good,710.71,35.08108525237374,No,153.86559170835062,430.89534371064394,Good,21.0,Missing,Missing,0,0,0,1,0,0,0,0,0,0
28.0,Entrepreneur,62007.222063697816,2932.084329679996,7,4,15.0,5.0,18,18.0,10.973431403472969,8.0,Standard,655.64,35.61423891964163,Yes,198.25233509300892,435.67322960462843,Good,28.0,Low,Small,0,0,0,0,1,1,0,1,0,0
18.0,Manager,40510.84253143091,3296.0471205807976,7,4,12.0,4.0,26,17.0,2.5984271947327686,3.0,Bad,653.77,23.661012028522705,No,81.87581982919716,237.68234698404854,Good,18.0,High,Large,1,1,0,0,1,1,0,0,0,0
40.0,Doctor,34688.54705400204,2872.6171852047137,5,7,1.0,3.0,13,11.0,5.9501673563494775,3.0,Good,845.66,32.26780952765003,No,143.45712442294308,341.9942349026751,Good,24.0,High,Large,1,0,0,0,0,0,0,0,0,1
21.0,Mechanic,64359.05348162279,7659.210066926225,0,3,9.0,4.0,3,1.0,5.541011693843946,2.0,Good,731.5,29.235038459047523,Yes,360.46449993505234,465.2922145665907,Good,21.0,High,Small,0,1,0,0,1,0,0,1,0,0
21.0,Lawyer,17132.106259855766,1130.046872806032,5,7,19.0,6.0,25,14.0,13.998186174536611,8.0,Standard,1252.51,30.97036178230828,Yes,145.127476687608,83.85627075781744,Good,19.0,Low,Medium,1,0,0,0,0,0,1,1,1,0
31.0,Mechanic,11427.903747207281,6006.992262237399,7,3,16.0,6.0,25,14.0,10.821648415435831,8.0,Bad,2424.94,34.00667460040641,Yes,163.7091063650937,110.6266430218296,Good,8.0,High,Small,1,1,0,0,1,1,0,0,0,0
44.0,Architect,16012.376463190885,1440.2073788250966,0,6,8.0,2.0,9,4.0,2.8685637577487215,2.0,Good,239.26,27.323343581544705,No,131.87988302543405,324.1335671332268,Good,26.0,High,Large,0,1,0,0,0,0,0,0,0,1
19.0,Doctor,42822.255649799044,2631.0383660979924,5,3,10.0,3.0,13,5.0,7.563844454142626,2.0,Good,735.9,22.828437883958966,No,99.1021985578786,346.74740100579197,Good,22.0,Low,Medium,0,1,0,0,0,0,0,0,0,1
18.0,Lawyer,28443.551304520075,2524.9731034499364,6,5,6.0,6.0,16,15.0,19.242016936126603,8.0,Standard,1082.04,26.070724945805132,Yes,128.92051555309888,449.7120469956727,Good,19.0,High,Medium,1,0,1,0,0,1,0,0,0,0
25.0,Doctor,22209.690175481468,1429.2136361488847,4,5,4.0,3.0,2,14.0,0.8664731485006022,3.0,Good,1127.09,39.05196148961436,No,84.41390797770924,219.6848567281674,Good,24.0,High,Medium,0,0,1,0,1,0,1,0,0,0
53.0,Scientist,20373.957227275878,1656.7010258261403,0,3,11.0,0.0,2,2.0,2.8687698319542583,3.0,Good,690.42,27.412784640334806,No,73.78652598466431,387.09473346269607,Good,32.0,High,Large,0,0,0,1,0,0,0,0,0,0
22.0,Manager,95617.50860379005,5454.438700271754,4,6,6.0,0.0,1,5.0,5.619178847087392,1.0,Standard,344.82,35.51617072494508,No,295.00712630221824,1063.7700924501885,Good,16.0,High,Large,0,0,0,1,0,0,0,0,0,0
47.0,Journalist,17372.411151030945,4844.0044055247845,5,3,6.0,0.0,1,3.0,2.925834445103867,1.0,Good,1213.37,22.292211283077492,No,135.69188120389714,436.38218798420064,Good,22.0,High,Medium,0,0,0,1,0,0,0,0,0,0
21.0,Entrepreneur,38672.119723160235,2631.8819933798086,6,5,10.0,4.0,17,6.0,3.5074190235439824,4.0,Standard,1370.98,24.8538600285441,No,220.94765514630075,413.1200364815896,Good,22.0,Missing,Missing,1,0,0,0,1,1,0,0,0,0
23.0,Developer,43491.609377606845,3658.793723486314,1,4,8.0,0.0,9,1.0,3.331674604997618,0.0,Standard,600.28,40.379542380829776,No,509.4071802781958,1078.1583810786658,Good,17.0,Missing,Missing,0,0,0,1,0,0,0,0,0,0
27.0,Manager,16648.36778455133,1243.922119283194,5,1,12.0,3.0,5,9.0,3.2075438112690935,8.0,Good,253.9,30.682233529400072,No,78.13287918881619,246.53925270424082,Good,27.0,High,Small,0,0,0,0,1,1,0,0,0,0
19.0,Entrepreneur,38030.706827514165,3332.225510005249,5,4,9.0,4.0,13,8.0,11.218226291513002,2.0,Good,538.65,37.67178462778852,No,109.67837282450813,357.2454084975827,Good,22.0,High,Large,0,0,1,0,0,1,1,1,0,0
49.0,Engineer,134303.4447179708,10413.467056438318,5,3,1.0,3.0,4,4.0,8.153544043240666,2.0,Good,1224.68,35.927699069812256,No,373.02196969528757,660.5398787470684,Good,17.0,Low,Large,0,1,0,0,0,0,0,1,1,0
47.0,Architect,109324.17994425747,10347.99784971109,1,4,12.0,2.0,8,4.0,5.9919255479137155,3.0,Good,559.36,34.47882042234133,No,456.81398660878057,177.96974883664433,Good,33.0,High,Small,0,0,1,0,1,0,1,0,0,0
