Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_History_Years,Spending_Level,Payment_Size
43.0,Accountant,58989.733477776834,6536.755159852992,4,4,17.0,1.0,17,17.0,17.934168962992988,0.0,Standard,0.11515334751833443,33.139239707191,Yes,253.9788299780101,302.6431929664761,Standard,26.0,High,Missing
39.0,Musician,59134.22132953707,8604.457643253714,3,2,3.0,2.0,7,12.0,11.435603951969366,6.0,Good,0.6847052603168275,30.940946525866046,No,390.128999050606,265.84075156598914,Good,18.0,Low,Small
27.0,Lawyer,11556.177588827975,570.0040023351,6,5,25.0,4.0,18,12.0,8.696637643052691,7.0,Standard,2.6157151728802703,28.112931519969123,Yes,72.69000269594505,300.06789093388716,Poor,12.0,Missing,Missing
27.0,Accountant,8522.071846012092,966.5065776908928,7,7,22.0,0.0,33,15.0,18.720699876254876,9.0,Bad,3.6733492995986325,34.626534272685305,Yes,43.87660740479663,308.33063245940633,Standard,12.0,Low,Medium
32.0,Writer,10942.324987736338,9288.126035012321,3,6,6.0,0.0,9,6.0,7.3945919966851426,5.0,Good,0.765386110824715,27.738059725988144,No,101.94710269321314,339.02530493096253,Standard,18.0,High,Large
46.0,Accountant,135461.28297306076,10719.965714558124,4,5,12.0,3.0,14,11.0,6.584992991936909,2.0,Standard,0.32730481905882175,24.2663436574493,No,364.78700481622235,964.47201623857,Good,23.0,High,Medium
17.0,Scientist,45043.15946097766,3563.314864162956,8,6,6.0,2.0,26,18.0,8.048125773739793,3.0,Standard,0.5108127396864136,33.80050485239116,Yes,205.39226630179053,270.6332120926688,Standard,16.0,High,Large
37.0,Engineer,18018.731285081612,1463.3621019265631,8,8,30.0,8.0,62,13.0,20.1564655362942,12.0,Bad,4.330251629890191,27.398300174614214,Yes,86.434533905562,307.01337984336465,Good,3.0,High,Small
19.0,Teacher,33837.56572967915,3280.429665726227,3,4,6.0,0.0,4,5.0,6.297017669307941,0.0,Good,0.45124831244381836,31.74637410074047,No,151.95057433465695,616.7041006700455,Standard,17.0,High,Medium
47.0,Accountant,13044.983767273794,1086.9113514515257,3,4,10.0,4.0,7,5.0,0.8603759150678708,2.0,Standard,1.3281103313099996,30.643484889674056,Yes,54.04466222380048,271.29119807439724,Good,14.0,Missing,Medium
14.0,Manager,28376.143896722988,1830.7476433238712,5,5,21.0,6.0,16,9.0,18.480408225545798,12.0,Bad,2.8077864463908666,27.118219395971494,Yes,126.68337053204021,258.5012954498483,Good,8.0,Low,Missing
19.0,Engineer,18555.53267229947,1711.9117466133553,9,6,29.0,7.0,28,21.0,17.110675230873046,12.0,Bad,1.9350477048297543,26.718113296353643,Yes,42.74127565183763,266.5643435164312,Standard,6.0,Missing,Missing
30.0,Manager,42618.93688252272,5258.585069816011,3,5,9.0,1.0,10,5.0,16.16110906324693,4.0,Standard,1.184895581544904,28.77895708036633,No,163.85206648584023,540.080573599138,Poor,24.0,High,Large
